secCode,年度,ESGスコア
1301,2021,4.1
1301,2022,2.76
1301,2023,4.43
1301,2024,3.79
1301,2025,1.38
130A,2021,4.9
130A,2022,4.04
130A,2023,4.14
130A,2024,1.51
130A,2025,2.8
131A,2021,2.48
131A,2022,4.71
131A,2023,3.58
131A,2024,4.29
131A,2025,2.77
132A,2021,1.91
132A,2022,3.22
132A,2023,1.26
132A,2024,4.31
132A,2025,3.53
1332,2021,4.03
1332,2022,2.42
1332,2023,4.88
1332,2024,4.57
1332,2025,4.11
1333,2021,1.78
1333,2022,2.87
1333,2023,1.18
1333,2024,1.62
1333,2025,3.73
134A,2021,3.98
134A,2022,4.87
134A,2023,2.3
134A,2024,2.48
134A,2025,2.88
135A,2021,1.76
135A,2022,1.52
135A,2023,2.9
135A,2024,1.91
135A,2025,3.68
136A,2021,2.75
136A,2022,4.33
136A,2023,3.8
136A,2024,2.25
136A,2025,4.33
1375,2021,4.22
1375,2022,2.55
1375,2023,2.15
1375,2024,3.73
1375,2025,1.56
1376,2021,1.8
1376,2022,1.03
1376,2023,4.15
1376,2024,3.66
1376,2025,3.82
1377,2021,4.12
1377,2022,2.84
1377,2023,3.27
1377,2024,1.56
1377,2025,1.46
1379,2021,3.67
1379,2022,2.88
1379,2023,3.26
1379,2024,4.06
1379,2025,3.54
137A,2021,3.21
137A,2022,3.24
137A,2023,2.22
137A,2024,1.12
137A,2025,2.75
1380,2021,1.86
1380,2022,2.63
1380,2023,4.41
1380,2024,1.94
1380,2025,1.23
1381,2021,2.13
1381,2022,2.17
1381,2023,3.65
1381,2024,3.23
1381,2025,4.14
1382,2021,3.66
1382,2022,2.63
1382,2023,4.26
1382,2024,1.67
1382,2025,1.09
1383,2021,1.36
1383,2022,3.89
1383,2023,2.85
1383,2024,1.65
1383,2025,3.0
1384,2021,1.61
1384,2022,3.79
1384,2023,2.78
1384,2024,2.52
1384,2025,2.21
138A,2021,3.52
138A,2022,2.45
138A,2023,1.35
138A,2024,1.47
138A,2025,4.85
139A,2021,4.63
139A,2022,3.8
139A,2023,2.06
139A,2024,4.88
139A,2025,4.12
1401,2021,3.87
1401,2022,2.8
1401,2023,2.09
1401,2024,1.39
1401,2025,4.61
1407,2021,2.82
1407,2022,1.81
1407,2023,2.22
1407,2024,3.32
1407,2025,1.71
1414,2021,4.43
1414,2022,4.03
1414,2023,3.88
1414,2024,2.73
1414,2025,3.51
1417,2021,3.34
1417,2022,3.6
1417,2023,1.34
1417,2024,2.66
1417,2025,1.17
1418,2021,2.98
1418,2022,2.32
1418,2023,1.58
1418,2024,1.41
1418,2025,3.35
1419,2021,1.68
1419,2022,4.7
1419,2023,3.32
1419,2024,2.39
1419,2025,3.36
141A,2021,1.09
141A,2022,4.83
141A,2023,2.93
141A,2024,4.13
141A,2025,1.33
1420,2021,2.95
1420,2022,2.96
1420,2023,4.75
1420,2024,3.29
1420,2025,2.89
1429,2021,2.07
1429,2022,2.33
1429,2023,3.08
1429,2024,2.76
1429,2025,1.09
142A,2021,4.31
142A,2022,4.58
142A,2023,1.56
142A,2024,3.22
142A,2025,1.43
1430,2021,3.69
