Date,1-1L-1-1-1F西/1(照明):kWh,1-1L-1-2-1F西/2(照明):kWh,1-1L-1-3-1F西/3(照明):kWh,1-1L-1-4-1F西/4(照明):kWh,1-1L-1-5-1F西/5(照明):kWh,1-1L-1-6-1F西/6(照明):kWh,1-1L-1-7-1F～3Fロビー/7(照明):kWh,1-1L-1-8-1F西/8(照明):kWh,1-1L-1-9-1F西/9(照明):kWh,1-1L-1-10-1F西/10(照明):kWh,1-1L-2-11-1F東/11(照明):kWh,1-1L-2-12-1F東/12(照明):kWh,1-1L-2-13-1F東/13(照明):kWh,1-1L-2-14-1F東/14(照明):kWh,1-1L-2-15-1F東/15(照明):kWh,1-1L-2-16-1F東/16(照明):kWh,1-1L-2-17-1F東/17(照明):kWh,1-1L-11-18-1101教室/18(照明):kWh,1-1L-11-19-1101教室/19(照明):kWh,1-1L-11-20-1101教室/20(照明):kWh,1-1L-11-21-1101教室/21(照明):kWh,1-1L-11-22-1101教室/22(照明):kWh,1-1L-11-23-1101教室/23(照明):kWh,1-1L-12-24-1102教室/24(照明):kWh,1-1L-12-25-1102教室/25(照明):kWh,1-1L-13-26-1103教室/26(照明):kWh,1-1L-13-27-1103教室/27(照明):kWh,1-1L-14-28-1104教室/28(照明):kWh,1-1L-14-29-1104教室/29(照明):kWh,1-1L-14-30-1104教室/30(照明):kWh,1-1L-14-31-1104教室/31(照明):kWh,1-1L-14-32-1104教室/32(照明):kWh,1-1L-14-33-1104教室/33(照明):kWh,1-2L-1-34-2F西/34(照明):kWh,1-2L-1-35-2F西/35(照明):kWh,1-2L-1-36-2F西/36(照明):kWh,1-2L-1-37-2F西/37(照明):kWh,1-2L-1-38-2F西 1201共同研究室1_2照明/38(照明):kWh,1-2L-1-39-2F西/39(照明):kWh,1-2L-1-40-2F西/40(照明):kWh,1-2L-1-41-2F西 共同研究室3～6照明/41(照明):kWh,1-2L-2-42-2F東/42(照明):kWh,1-2L-2-43-2F東/43(照明):kWh,1-2L-2-44-2F東/44(照明):kWh,1-2L-2-45-1202～1204照明/45(照明):kWh,1-2L-2-46-2F東/46(照明):kWh,1-2L-2-47-2F東/47(照明):kWh,1-2L-2-48-1205～1207照明/48(照明):kWh,1-2L-H-49-1208教室/49(照明):kWh,1-2L-I-50-1209教室/50(照明):kWh,1-2L-J-51-1210教室/51(照明):kWh,1-2L-K-52-1211教室/52(照明):kWh,1-2L-L-53-1212教室/53(照明):kWh,1-3L-1-54-3F東/54(照明):kWh,1-3L-1-55-3F東/55(照明):kWh,1-3L-1-56-3F東 ラボスクウェア1_2照明/56(照明):kWh,1-3L-1-57 共同研究室7～9/57(照明):kWh,1-3L-1-58 ラボスクウェア1_2照明/58(照明):kWh,1-3L-1-59 3F東/59(照明):kWh,1-3L-1-60 3F東/60(照明):kWh,1-3L-1-61 共同研究室10～12/61(照明):kWh,1-3L-2-62 3F西/62(照明):kWh,1-3L-2-63 3F西/63(照明):kWh,1-3L-2-64 3F西 ラボスクウェア3_4照明/64(照明):kWh,1-3L-2-65 3F西/65(照明):kWh,1-3L-2-66 共同研究室13西照明/66(照明):kWh,1-3L-2-67 ラボスクウェア3_4照明/67(照明):kWh,1-3L-2-68 3F西/68(照明):kWh,1-3L-2-69 3F西/69(照明):kWh,1-3L-2-70 3F西/70(照明):kWh,1-3L-2-71 3F西 共同研究室13東照明/71(照明):kWh,1号館電灯盤1_R相/73(主幹):kWh,1号館電灯盤2_R相/74(主幹):kWh,1号館電灯盤3_R相/75(主幹):kWh,1号館動力盤1_R相/76(その他動力):kWh,1-GHP-77/77GHP(空調熱源):m3,1号館電灯盤1_T相/73_T(照明等その他):kWh,1号館電灯盤2_T相/74_T(照明等その他):kWh,1号館電灯盤3_T相/75_T(照明等その他):kWh,1号館動力盤1_T相/76_T(その他動力):kWh,1-太陽光発電量/82(発電):kWh
2021/05/01 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.192,1.572,0.616,1.271325,0,3.126,2.806,0.586,1.60561,0
2021/05/01 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222,1.538,0.616,1.279986,0,3.122,2.79,0.578,1.55538,0
2021/05/01 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,1.518,0.622,1.364855,0,3.136,2.834,0.588,1.617734,0
2021/05/01 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.242,1.552,0.616,1.319822,0,3.008,2.848,0.588,1.612538,0
2021/05/01 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.212,1.522,0.612,1.295573,0,3.308,2.832,0.584,1.569237,0
2021/05/01 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.236,1.468,0.622,1.084263,0,3,2.816,0.588,1.380443,0.5
2021/05/01 6:00,0.115,0,0,0,0,0,0.106,0.054,0,0.108,0.079,0,0.003,0.107,0,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,2.012,1.012,0.624,1.373516,0,3.12,2.226,0.588,1.758031,3.9
2021/05/01 7:00,0.174,0,0,0,0,0.01,0.194,0.1,0,0.199,0.148,0,0,0.199,0,0.009,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0.996,0.612,3.94561,0,3.162,1.296,0.58,4.340518,10.3
2021/05/01 8:00,0.172,0,0,0,0,0.01,0.192,0.098,0,0.197,0.146,0,0.022,0.196,0,0.018,0.098,0,0,0,0,0,0,0,0,0.17,0.255,0,0.085,0.308,0.187,0.286,0,0,0,0,0,0,0,0,0.035,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0.023,0,0,0,0,0,0,0,0,0,0.03,0.258,2.57,1.542,1.182,6.467474,0,3.964,1.306,1.176,6.839865,16.6
2021/05/01 9:00,0.174,0,0,0,0,0.005,0.194,0.099,0,0.199,0.147,0,0.022,0.198,0,0.023,0.098,0,0,0,0,0,0,0,0,0.394,0.592,0,0.205,0.744,0.453,0.691,0,0,0,0,0,0,0,0,0.2,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,0,0,0.012,0.591,2.392,1.63,1.964,5.080102,0,3.362,1.76,1.988,5.28968,12.2
2021/05/01 10:00,0.176,0,0,0,0,0.008,0.196,0.101,0,0.201,0.15,0,0.024,0.201,0,0.021,0.099,0,0,0,0,0,0,0,0,0.394,0.59,0,0.204,0.743,0.452,0.691,0,0,0,0,0,0,0,0,0.199,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0.014,0,0,0,0,0,0.164,0,0,0,0.037,0.591,2.424,2.196,1.96,7.300591,1,3.45,2.09,1.984,7.631412,17.9
2021/05/01 11:00,0.172,0,0.018,0,0,0.018,0.192,0.098,0,0.197,0.146,0,0.045,0.196,0,0.011,0.099,0,0,0,0,0,0,0,0,0.397,0.596,0,0.207,0.749,0.456,0.696,0,0,0,0,0,0,0,0,0.2,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.013,0,0,0,0,0,0.2,0,0,0,0.028,0.596,2.45,1.768,1.968,6.573131,0,3.422,1.726,1.984,6.893559,15.9
