Date,Lighting,Others,Power,Air,Total,weekday,Holiday,period
2021-05-01 00:00:00,0.0,6.518000000000001,2.876935,0,9.394935,Sat,1,after_class
2021-05-01 01:00:00,0.0,6.49,2.835366,0,9.325366,Sat,1,after_class
2021-05-01 02:00:00,0.0,6.558000000000001,2.982589,0,9.540589,Sat,1,after_class
2021-05-01 03:00:00,0.0,6.444,2.93236,0,9.37636,Sat,1,after_class
2021-05-01 04:00:00,0.0,6.723999999999999,2.8648100000000003,0,9.588809999999999,Sat,1,after_class
2021-05-01 05:00:00,0.0,6.404,2.464706,0,8.868706,Sat,1,after_class
2021-05-01 06:00:00,0.6600000000000001,5.934,3.131547,0,9.725547,Sat,1,after_class
2021-05-01 07:00:00,1.132,5.038,8.286128,0,14.456128,Sat,1,after_class
2021-05-01 08:00:00,2.8970000000000002,6.446,13.307338999999999,0,22.650339,Sat,1,after_class
2021-05-01 09:00:00,5.276,7.109999999999999,10.369782,0,22.755782,Sat,1,1
2021-05-01 10:00:00,5.482999999999999,7.524,14.932003,1,28.939003,Sat,1,1
2021-05-01 11:00:00,5.561,7.132,13.46669,0,26.159689999999998,Sat,1,1
2021-05-01 12:00:00,5.695,7.198,11.344927,0,24.237927,Sat,1,2
2021-05-01 13:00:00,5.691,7.19,11.098976,0,23.979976,Sat,1,break
2021-05-01 14:00:00,5.4380000000000015,6.83,16.388655,0,28.656655,Sat,1,3
2021-05-01 15:00:00,5.58,8.690000000000001,5.781585,0,20.051585000000003,Sat,1,3
2021-05-01 16:00:00,5.512,7.966,4.181169000000001,0,17.659169,Sat,1,4
2021-05-01 17:00:00,2.9830000000000005,7.222,2.497617,0,12.702617000000002,Sat,1,4
2021-05-01 18:00:00,1.9929999999999999,7.37,3.069193,0,12.432193,Sat,1,5
2021-05-01 19:00:00,1.5790000000000002,6.988,3.2839660000000004,0,11.850966,Sat,1,5
2021-05-01 20:00:00,1.444,6.712,3.283967,0,11.439967,Sat,1,5
2021-05-01 21:00:00,0.935,6.734,3.069192,0,10.738192000000002,Sat,1,after_class
2021-05-01 22:00:00,0.0,6.2540000000000004,3.245862,0,9.499862,Sat,1,after_class
2021-05-01 23:00:00,0.0,6.55,3.230274,0,9.780274,Sat,1,after_class
2021-05-02 00:00:00,0.0,5.273,2.4491180000000004,0,7.722118,Sun,1,after_class
2021-05-02 01:00:00,0.0,6.606,3.174849,0,9.780849,Sun,1,after_class
2021-05-02 02:00:00,0.0,6.708,3.2094880000000003,0,9.917488,Sun,1,after_class
2021-05-02 03:00:00,0.004,6.486,3.228541,0,9.718540999999998,Sun,1,after_class
2021-05-02 04:00:00,0.0,6.684,3.259718,0,9.943718,Sun,1,after_class
2021-05-02 05:00:00,0.0,6.41,2.686411,0,9.096411,Sun,1,after_class
2021-05-02 06:00:00,0.16100000000000003,5.704,3.135011,0,9.000011,Sun,1,after_class
2021-05-02 07:00:00,0.5700000000000001,4.642,8.336356,0,13.548356000000002,Sun,1,after_class
2021-05-02 08:00:00,3.5669999999999997,6.788,14.071176,0,24.426175999999998,Sun,1,after_class
2021-05-02 09:00:00,6.0,7.83,16.425030999999997,0,30.255030999999995,Sun,1,1
2021-05-02 10:00:00,6.022,8.193999999999999,17.784689,0,32.000689,Sun,1,1
2021-05-02 11:00:00,5.979000000000001,8.14,19.159938,0,33.278938000000004,Sun,1,1
2021-05-02 12:00:00,6.003,8.83,11.216756,0,26.049756000000002,Sun,1,2
2021-05-02 13:00:00,6.002000000000001,8.776,6.204203,0,20.982203,Sun,1,break
2021-05-02 14:00:00,5.984999999999999,9.038,5.485404,0,20.508404,Sun,1,3
2021-05-02 15:00:00,6.127000000000001,9.222,5.481939000000001,0,20.830939,Sun,1,3
2021-05-02 16:00:00,5.977,7.847999999999999,6.171294,0,19.996294,Sun,1,4
2021-05-02 17:00:00,3.9019999999999992,7.498,2.8942550000000002,0,14.294255,Sun,1,4
2021-05-02 18:00:00,3.3999999999999995,7.73,3.0726560000000003,0,14.202656,Sun,1,5
2021-05-02 19:00:00,1.4929999999999997,7.014,3.31168,0,11.81868,Sun,1,5
2021-05-02 20:00:00,0.137,6.308,3.356714,0,9.801714,Sun,1,5
2021-05-02 21:00:00,0.0,6.07,3.178311,0,9.248311000000001,Sun,1,after_class
2021-05-02 22:00:00,0.0,6.204,3.074388,0,9.278388,Sun,1,after_class
2021-05-02 23:00:00,0.0,6.658,3.1748469999999998,0,9.832847000000001,Sun,1,after_class
2021-05-03 00:00:00,0.0,4.9639999999999995,2.349525,0,7.313524999999999,Mon,0,after_class
2021-05-03 01:00:00,0.0,6.666,3.135011,0,9.801011,Mon,0,after_class
2021-05-03 02:00:00,0.0,6.680000000000001,3.13501,0,9.815010000000001,Mon,0,after_class
2021-05-03 03:00:00,0.0,6.6659999999999995,3.216417,0,9.882417,Mon,0,after_class
2021-05-03 04:00:00,0.0,6.659999999999999,3.141938,0,9.801938,Mon,0,after_class
2021-05-03 05:00:00,0.0,6.2,2.537452,0,8.737452000000001,Mon,0,after_class
2021-05-03 06:00:00,1.796,6.686,3.0969059999999997,0,11.578906,Mon,0,after_class
2021-05-03 07:00:00,2.0450000000000004,5.188,8.694893,0,15.927893000000001,Mon,0,after_class
2021-05-03 08:00:00,2.6089999999999995,5.426,14.185490999999999,0,22.220491,Mon,0,after_class
2021-05-03 09:00:00,4.035,5.734,15.468938999999999,0,25.237938999999997,Mon,0,1
2021-05-03 10:00:00,4.156000000000001,5.65,19.494222,0,29.300222,Mon,0,1
2021-05-03 11:00:00,4.374999999999999,6.304,16.958503,0,27.637503,Mon,0,1
2021-05-03 12:00:00,4.529,6.228,14.533631,0,25.290630999999998,Mon,0,2
2021-05-03 13:00:00,4.35,7.175999999999999,4.501597,0,16.027597,Mon,0,break
2021-05-03 14:00:00,3.8609999999999998,6.464,8.211649,0,18.536648999999997,Mon,0,3
2021-05-03 15:00:00,4.074999999999999,5.644,11.208096000000001,0,20.927096,Mon,0,3
2021-05-03 16:00:00,4.196,6.2219999999999995,6.380872,0,16.798872,Mon,0,4
2021-05-03 17:00:00,4.116,7.584,2.65177,0,14.351769999999998,Mon,0,4
2021-05-03 18:00:00,3.7330000000000005,7.997999999999999,3.259718,0,14.990718,Mon,0,5
2021-05-03 19:00:00,2.9849999999999994,7.608,3.2510589999999997,0,13.844059,Mon,0,5
2021-05-03 20:00:00,1.6979999999999993,7.042,3.207756,0,11.947755999999998,Mon,0,5
2021-05-03 21:00:00,0.0,6.128,3.36364,0,9.49164,Mon,0,after_class
2021-05-03 22:00:00,0.0,6.282,3.296093,0,9.578092999999999,Mon,0,after_class
2021-05-03 23:00:00,0.0,6.66,3.174848,0,9.834848000000001,Mon,0,after_class
2021-05-04 00:00:00,0.0,4.909999999999999,2.425737,0,7.335736999999999,Tue,0,after_class
2021-05-04 01:00:00,0.0,6.712000000000001,3.216415,0,9.928415000000001,Tue,0,after_class
2021-05-04 02:00:00,0.0,6.680000000000001,3.159259,0,9.839259,Tue,0,after_class
2021-05-04 03:00:00,0.0,6.64,3.147135,0,9.787135,Tue,0,after_class
2021-05-04 04:00:00,0.0,6.702000000000001,2.975663,0,9.677663,Tue,0,after_class
2021-05-04 05:00:00,0.0,6.506,2.6188599999999997,0,9.12486,Tue,0,after_class
2021-05-04 06:00:00,0.3,5.718,3.1557959999999996,0,9.173796,Tue,0,after_class
2021-05-04 07:00:00,0.491,4.962,7.981287999999999,0,13.434287999999999,Tue,0,after_class
2021-05-04 08:00:00,1.256,5.032,13.168776000000001,0,19.456776,Tue,0,after_class
2021-05-04 09:00:00,2.311,5.331999999999999,17.533545,0,25.176544999999997,Tue,0,1
2021-05-04 10:00:00,2.497,5.864,20.131615,0,28.492615,Tue,0,1
2021-05-04 11:00:00,2.641,5.574,20.372371,0,28.587371,Tue,0,1
2021-05-04 12:00:00,2.8209999999999997,5.8580000000000005,20.311751,0,28.990751000000003,Tue,0,2
2021-05-04 13:00:00,2.899,5.27,17.677303,0,25.846303,Tue,0,break
2021-05-04 14:00:00,2.867,5.398,14.786511,0,23.051511,Tue,0,3
2021-05-04 15:00:00,2.916,5.08,10.782012,0,18.778012,Tue,0,3
2021-05-04 16:00:00,2.6480000000000006,5.734,5.620502,0,14.002502000000002,Tue,0,4
2021-05-04 17:00:00,1.9700000000000002,6.46,2.644839,0,11.074839,Tue,0,4
2021-05-04 18:00:00,1.068,6.572,2.9392899999999997,0,10.57929,Tue,0,5
2021-05-04 19:00:00,0.3520000000000001,6.33,3.183508,0,9.865508,Tue,0,5
2021-05-04 20:00:00,0.12000000000000001,6.225999999999999,3.1315470000000003,0,9.477547,Tue,0,5
2021-05-04 21:00:00,0.0,6.0280000000000005,3.1021020000000004,0,9.130102,Tue,0,after_class
2021-05-04 22:00:00,0.0,5.97,3.1939010000000003,0,9.163901,Tue,0,after_class
