あなたの「スマートフォン」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「スマートフォン」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「パソコン」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「パソコン」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「SNS（FacebookやInstagramなど）」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「SNS（FacebookやInstagramなど）」に対する操作や知識について、どれくらい自信があるかを教えてください。,あなたの「ネットを使ったコミュニケーション（LINEやTwitterなど）」に対する印象について、どれくらいあてはまるかを教えてください。,あなたの「ネットを使ったコミュニケーション（LINEやTwitterなど）」に対する操作や知識について、どれくらい自信があるかを教えてください。,次の「IT用語」について「知っている」という言葉にチェックをしてください（知っているものすべてにチェック）。,Windowsの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,電子メールの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,WWW(ウェブ)の操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Wordの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Excelの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,PowerPointの操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,Officeの応用的な操作や事柄について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。,情報倫理について「身に付いている」ものにチェックをしてください（身に付いているものすべてにチェック）。
まあまあ興味がある,どちらでもない,どちらでもない,あまり自信がない,まあまあ興味がある,どちらでもない,どちらでもない,どちらでもない,VR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;BackspaceキーとDeleteキーの使い分けができる;ファイル名の変更ができる;ファイルを検索することができる;,メール作成時に適切な件名をつけることができる;転送機能を利用して、メールを転送することができる;,Google検索を利用できる;,中央揃えや右揃えを設定することができる;フォントの種類やサイズを変更することができる;均等割つけを行うことができる;用紙サイズの変更や余白の変更ができる;,セルに入力したデータを削除することができる;,スライドマスターを活用することができる;SmartArtを挿入することができる;,学内PCで作成したファイルを自宅のPCに持ち運べる;,どれも身についていない;
すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,ビット（bit）;LAN;Wi-Fi;無線LAN;フィッシング(phishing);URL;SSL;OS;GIF;MP3;VR;AR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;ファイル名の変更ができる;ファイルを検索することができる;,メールを作成し、送信することができる;,Google検索を利用できる;ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;,フォントの種類やサイズを変更することができる;中央揃えや右揃えを設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;,セルに入力したデータを修正することができる;セルにデータを入力することができる;他のセルを参照する数式を入力することができる;数式を入力して四則演算を行うことができる;セルに入力したデータを削除することができる;オートサム機能を使うことができる;SUMなどの基本的な関数を使うことができる;ワークシートを切り替えたり、新しく作成したりできる;セルの表示形式（通貨形式など）を変更できる;数式を入力する際に、絶対参照を行うことができる;オートフィル機能を利用して数式をコピーできる;グラフの色や軸の表示設定などを変更することができる;グラフを作成することができる;複数のセルを結合することができる;データの並び替えや絞り込みを行うことができる;セルの幅や高さを変更することができる;セルのフォントや背景色を変更することができる;罫線（けいせん）を引くことができる;,新しいスライドを追加することができる;,学術的文章の規則を踏まえてレポートを作成できる;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;
すごく興味がある,あまり自信がない,まあまあ興味がある,全く自信がない,すごく興味がある,あまり自信がない,まあまあ興味がある,あまり自信がない,LAN;CPU;Wi-Fi;無線LAN;URL;GIF;,ウィンドウの最小化や最大化が行える;シャットダウン(電源OFF)操作が行える;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
どちらでもない,あまり自信がない,全く興味がない,全く自信がない,まあまあ興味がある,どちらでもない,どちらでもない,どちらでもない,URL;Wi-Fi;,ウィンドウの最小化や最大化が行える;シャットダウン(電源OFF)操作が行える;,どれも身についていない;,Google検索を利用できる;,どれも身についていない;,どれも身についていない;,新しいスライドを追加することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;
まあまあ興味がある,まあまあ自信がある,すごく興味がある,全く自信がない,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,Wi-Fi;無線LAN;URL;GIF;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;,どれも身についていない;,Google検索を利用できる;,囲い文字を設定することができる;箇条書きの作成ができる;番号付きリストの作成ができる;中央揃えや右揃えを設定することができる;フォントの種類やサイズを変更することができる;用紙サイズの変更や余白の変更ができる;,複数のセルを結合することができる;,新しいスライドを追加することができる;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,あまり自信がない,すごく興味がある,あまり自信がない,まあまあ興味がある,全く自信がない,どちらでもない,全く自信がない,LAN;Wi-Fi;無線LAN;フィッシング(phishing);MP3;,シャットダウン(電源OFF)操作が行える;Windowsの基本的なマウス操作が行える;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;,グラフの色や軸の表示設定などを変更することができる;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
まあまあ興味がある,まあまあ自信がある,あまり興味がない,全く自信がない,すごく興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,Wi-Fi;無線LAN;WWW(ウェブ);URL;OS;,全角文字と半角文字を適切に区別して入力できる;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,まあまあ自信がある,まあまあ興味がある,全く自信がない,すごく興味がある,まあまあ自信がある,すごく興味がある,まあまあ自信がある,Wi-Fi;URL;拡張子;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;Windowsの基本的なマウス操作が行える;,どれも身についていない;,Google検索を利用できる;,どれも身についていない;,どれも身についていない;,どれも身についていない;,どれも身に付いていない;,どれも身についていない;
すごく興味がある,あまり自信がない,どちらでもない,全く自信がない,どちらでもない,あまり自信がない,まあまあ興味がある,あまり自信がない,ビット（bit）;CPU;LAN;Wi-Fi;無線LAN;WWW(ウェブ);フィッシング(phishing);URL;OS;GIF;,シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;全角文字と半角文字を適切に区別して入力できる;,どれも身についていない;,ブラウザを利用してウェブページを開くことができる;Google検索を利用できる;,フォントの種類やサイズを変更することができる;箇条書きの作成ができる;,セルにデータを入力することができる;セルに入力したデータを修正することができる;,新しいスライドを追加することができる;アニメーション機能を使うことができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;
まあまあ興味がある,まあまあ自信がある,まあまあ興味がある,まあまあ自信がある,あまり興味がない,あまり自信がない,まあまあ興味がある,まあまあ自信がある,CPU;LAN;Wi-Fi;無線LAN;WWW(ウェブ);ファイアウォール;フィッシング(phishing);URL;OS;拡張子;JPEG;GIF;PNG;dpi;MP3;MP4;VR;AR;,Windowsの基本的なマウス操作が行える;シャットダウン(電源OFF)操作が行える;ウィンドウの最小化や最大化が行える;ファイル操作の際にショートカットキーを活用できる;全角文字と半角文字を適切に区別して入力できる;文字入力の際に挿入、上書きモードの使い分けができる;異なるソフトウェア間のコピーや貼り付けを行える;ファイル名の変更ができる;サブフォルダを作成することができる;ファイルを検索することができる;ファイルを別のフォルダへコピーすることができる;ファイルを削除することができる;ゴミ箱に入ったファイルを元に戻すことができる;ZIPファイルを展開することができる;USBフラッシュメモリを利用してファイルを持ち運べる;,メールを作成し、送信することができる;メールにファイルを添付して送信することができる;メールに添付されているファイルを開くことができる;,ブラウザを利用してウェブページを開くことができる;ウェブページをブックマークに登録することができる;Google検索を利用できる;,箇条書きの作成ができる;中央揃えや右揃えを設定することができる;フォントの種類やサイズを変更することができる;番号付きリストの作成ができる;均等割つけを行うことができる;囲い文字を設定することができる;タブによる頭揃えを行うことができる;１ページの文字数や行数の設定を変更できる;用紙サイズの変更や余白の変更ができる;表の挿入機能を利用して、標を挿入することができる;画像やグラフなどを文章内に挿入することができる;作成した文章を印刷することができる;,セルにデータを入力することができる;セルに入力したデータを削除することができる;,新しいスライドを追加することができる;スライドにページ番号を挿入することができる;テキストボックスなどのオブジェクトを挿入できる;アニメーション機能を使うことができる;配布資料形式でスライドを印刷することができる;,どれも身に付いていない;,学内PCでログアウトせずに帰る危険性を理解している;マルウェア（不正ソフト）について理解している;フィッシング詐欺について理解している;ウェブ上の画像に関する著作権について理解している;
