Country,Fertility
Korea,0.92
Spain,1.23
Italy,1.27
Japan,1.36
Poland,1.42
Portugal,1.43
Lithuania,1.61
Luxembourg,1.34
Canada,1.47
Greece,1.34
Finland,1.35
Austria,1.46
Switzerland,1.48
United Kingdom,1.63
Costa Rica,1.63
Chile,1.55
Norway,1.53
Latvia,1.61
Germany,1.54
OECD average,1.6
Hungary,1.49
Belgium,1.6
Estonia,1.66
Netherlands,1.57
Slovak Republic,1.57
New Zealand,1.72
Slovenia,1.61
United States,1.71
Sweden,1.7
Australia,1.67
Türkiye,1.88
Colombia,1.77
Ireland,1.7
Denmark,1.7
France,1.83
Iceland,1.75
Mexico,1.92
Czech Republic,1.71
Israel,3.01
